artist,comments,country,dated,department,description,id,img_url,medium,onview,role,submit_time,title,web_url
"Chinard, Joseph;",,china,1810,National Gallery of Art,"Gift of Daniel Wildenstein, in Honor of the 50th Anniversary of the National Gallery of Art",72013,"https://media.nga.gov/iiif/49105049-c869-49f6-9b09-a5d45cb2f8a1/full/!384,384/0/default.jpg",terracotta,True,Sculpture,2023-05-09 18:51:19,A Lady,https://www.nga.gov/collection/art-object-page.72013.html
"Cartier, Ferdinand;",,china,1936,National Gallery of Art,Index of American Design,17087,"https://media.nga.gov/iiif/c2ca8149-c267-4ab5-80ed-62f896639613/full/!384,384/0/default.jpg","watercolor, colored pencil, and graphite on paperboard",False,Index of American Design,2023-05-09 18:51:19,China Cabinet,https://www.nga.gov/collection/art-object-page.17087.html
"Saltar, Gordon;Loper, Edward L.;",,china,c. 1937,National Gallery of Art,Index of American Design,17089,"https://media.nga.gov/iiif/93b726be-0aa8-46b3-bd50-531fc5f9eb68/full/!384,384/0/default.jpg","watercolor, gouache, colored pencil, and graphite on paper",False,Index of American Design,2023-05-09 18:51:19,China Closet,https://www.nga.gov/collection/art-object-page.17089.html
"Meyers, Henry;",,china,c. 1936,National Gallery of Art,Index of American Design,17091,"https://media.nga.gov/iiif/1cea3e90-c321-49c0-88ec-b43e19da63c6/full/!384,384/0/default.jpg","watercolor, gouache, colored pencil, and graphite on paperboard",False,Index of American Design,2023-05-09 18:51:19,China Closet,https://www.nga.gov/collection/art-object-page.17091.html
"Prado, Josephine;",,china,c. 1940,National Gallery of Art,Index of American Design,18034,"https://media.nga.gov/iiif/14bc263e-2137-4eee-832d-e872578c9914/full/!384,384/0/default.jpg","watercolor, colored pencil, and graphite on paperboard",False,Index of American Design,2023-05-09 18:51:19,China Closet,https://www.nga.gov/collection/art-object-page.18034.html
"Bolser, Grace;",,china,c. 1940,National Gallery of Art,Index of American Design,18035,"https://media.nga.gov/iiif/1efff0ba-c21b-4434-b7fe-fbe5a6c68bb5/full/!384,384/0/default.jpg","watercolor, colored pencil, and graphite on paperboard",False,Index of American Design,2023-05-09 18:51:19,China Closet,https://www.nga.gov/collection/art-object-page.18035.html
"Darby, Edward A.;",,china,c. 1939,National Gallery of Art,Index of American Design,17090,"https://media.nga.gov/iiif/7f101985-b0c0-4ebe-a948-b85eb0ab9e68/full/!384,384/0/default.jpg","watercolor, gouache, colored pencil, pen and ink, and graphite on paperboard",False,Index of American Design,2023-05-09 18:51:19,China Cupboard,https://www.nga.gov/collection/art-object-page.17090.html
"Fairbanks, George;",,china,1935/1942,National Gallery of Art,Index of American Design,22464,"https://media.nga.gov/iiif/81be1fe8-1b78-41e3-9ed9-2b1e4c16f208/full/!384,384/0/default.jpg","watercolor, graphite, colored pencil, and pen and ink on paper",False,Index of American Design,2023-05-09 18:51:19,China Cupboard,https://www.nga.gov/collection/art-object-page.22464.html
"Brooks, Adele;",,china,c. 1940,National Gallery of Art,Index of American Design,27519,"https://media.nga.gov/iiif/f955e7e7-275c-4cb4-bba0-1f2a7d30f9f1/full/!384,384/0/default.jpg",watercolor and graphite on paper,False,Index of American Design,2023-05-09 18:51:19,China Doll,https://www.nga.gov/collection/art-object-page.27519.html
"Nelson, Lelah;",,china,c. 1941,National Gallery of Art,Index of American Design,27599,"https://media.nga.gov/iiif/c050c0e6-c286-432b-bd80-3161171bc2cb/full/!384,384/0/default.jpg",watercolor and graphite on paperboard,False,Index of American Design,2023-05-09 18:51:19,China Headed Doll,https://www.nga.gov/collection/art-object-page.27599.html
"Childers, William Paul;",,china,1935/1942,National Gallery of Art,Index of American Design,27602,"https://media.nga.gov/iiif/8ca30774-7172-48e4-bb9b-773600fac470/full/!384,384/0/default.jpg","watercolor, graphite, and gouache on paper",False,Index of American Design,2023-05-09 18:51:25,China Headed Doll,https://www.nga.gov/collection/art-object-page.27602.html
"Chichester, Beverly;",,china,c. 1936,National Gallery of Art,Index of American Design,27525,"https://media.nga.gov/iiif/dfe7a3ce-5b4a-4ef0-b513-e7af3ace1981/full/!384,384/0/default.jpg","watercolor, graphite, and gouache on paperboard",False,Index of American Design,2023-05-09 18:51:25,China-Headed Doll,https://www.nga.gov/collection/art-object-page.27525.html
"Murphy, Henry;",,china,1935/1942,National Gallery of Art,Index of American Design,27455,"https://media.nga.gov/iiif/31f48897-38c2-44f2-8920-cc12605f7f05/full/!384,384/0/default.jpg",watercolor and graphite on paper,False,Index of American Design,2023-05-09 18:51:25,China Headed Negro Doll,https://www.nga.gov/collection/art-object-page.27455.html
"Rosel, Vincent P.;",,china,c. 1938,National Gallery of Art,Index of American Design,19430,"https://media.nga.gov/iiif/47069009-6a80-4b6e-bd68-a6057ba9a254/full/!384,384/0/default.jpg","watercolor, graphite, colored pencil, pen and ink,and heightening on paper",False,Index of American Design,2023-05-09 18:51:25,China Invalid's Cup,https://www.nga.gov/collection/art-object-page.19430.html
"Holt, Geoffrey;",,china,c. 1937,National Gallery of Art,Index of American Design,19426,"https://media.nga.gov/iiif/48ce97e3-a00b-4943-8b3a-aff3abe7cd75/full/!384,384/0/default.jpg","watercolor, graphite, heightening, and pen and inkon paper",False,Index of American Design,2023-05-09 18:51:25,China Plate,https://www.nga.gov/collection/art-object-page.19426.html
"Georgetti, Guido (Wedo);",,china,c. 1935,National Gallery of Art,"Reba and Dave Williams Collection, Gift of Reba and Dave Williams",146957,"https://media.nga.gov/iiif/a4b6ece6-05ff-4d59-93e3-d961b966bea6/full/!384,384/0/default.jpg",lithograph,False,Print,2023-05-09 18:51:25,China Basin (San Francisco),https://www.nga.gov/collection/art-object-page.146957.html
"Pulsifer, Mina;",,china,c. 1935,National Gallery of Art,"Reba and Dave Williams Collection, Gift of Reba and Dave Williams",146096,"https://media.nga.gov/iiif/64ee955f-b637-488c-a270-57192c8ef82c/full/!384,384/0/default.jpg",color woodcut,False,Print,2023-05-09 18:51:25,China Ducks,https://www.nga.gov/collection/art-object-page.146096.html
"Kitaj, R. B.;Kelpra Studio;Marlborough Gallery;Schellenberg FL;",,china,1969-1970,National Gallery of Art,Gift of the Collectors Committee,95282,"https://media.nga.gov/iiif/1533a3a7-bf0b-43b2-b20c-efebd878bfc0/full/!384,384/0/default.jpg",color photo-screenprint on wove paper,False,Print,2023-05-09 18:51:25,China of To-day,https://www.nga.gov/collection/art-object-page.95282.html
"Baer, Howard;",,china,1945,National Gallery of Art,Corcoran Collection,182322,"https://media.nga.gov/iiif/3beda7a0-86f5-4445-b98a-456b547b3e7f/full/!384,384/0/default.jpg",lithograph in black on wove paper,False,Print,2023-05-09 18:51:25,China Supply Rendezvous,https://www.nga.gov/collection/art-object-page.182322.html
Niu Weiyu;,,china,"1950s, printed 2021",National Gallery of Art,Gift of The Gao Fan and Niu Weiyu Foundation,223384,"https://media.nga.gov/iiif/58a94935-9865-44a9-8201-8c62b09e06ed/full/!384,384/0/default.jpg",gelatin silver print,False,Photograph,2023-05-09 18:51:25,China’s First Female Parachutist,https://www.nga.gov/collection/art-object-page.223384.html
"Camilli, Albert;",,china,c. 1936,National Gallery of Art,Index of American Design,27421,"https://media.nga.gov/iiif/bfae9c1c-0cdc-4301-91cb-ad010924e846/full/!384,384/0/default.jpg",watercolor and graphite on paper,False,Index of American Design,2023-05-09 18:51:25,Toy China Set,https://www.nga.gov/collection/art-object-page.27421.html
"Heine, William;Sarony, Napoleon;G. P. Putnam &amp; Co.;",,china,1856,National Gallery of Art,Corcoran Collection,193842,"https://media.nga.gov/iiif/16c3d2f6-5e87-42b0-95d3-298cf0dd7fed/full/!384,384/0/default.jpg",chromolithograph on Bristol board,False,Print,2023-05-09 18:51:25,"Old China Street, Canton",https://www.nga.gov/collection/art-object-page.193842.html
"Schiavonetti, Luigi;Wheatley, Francis;",,china,1794,National Gallery of Art,Rosenwald Collection,30783,"https://media.nga.gov/iiif/35feeb73-bb6b-429e-bb7e-04db84035904/full/!384,384/0/default.jpg",color stipple engraving,False,Print,2023-05-09 18:51:25,Sweet China Oranges,https://www.nga.gov/collection/art-object-page.30783.html
"Barye, Antoine-Louis;",,china,"model n.d., cast 1870/1992",National Gallery of Art,Corcoran Collection (Estate of George E. Tewksbury by his wife and daughter),177262,"https://media.nga.gov/iiif/dc987f83-a900-429f-bb06-9c4c5afd1e20/full/!384,384/0/default.jpg",bronze,True,Sculpture,2023-05-09 18:51:25,Cochin China Elephant,https://www.nga.gov/collection/art-object-page.177262.html
American 20th Century;,,china,1935/1942,National Gallery of Art,Index of American Design,27502,"https://media.nga.gov/iiif/454d44fb-67d9-4dbf-98ca-5d098ef86f97/full/!384,384/0/default.jpg","watercolor, graphite, and gouache on paperboard",False,Index of American Design,2023-05-09 18:51:25,German China Head Doll,https://www.nga.gov/collection/art-object-page.27502.html
